title,company,location,description,url,tags,entry_count,scraped_at
生成AI開発案件を推進したい生成AIエンジニアを募集！,株式会社LeapWell,,"■募集内容■
生成AIエンジニアを募集します。

お客様と共同で進めている、生成AI関連のプロジェクトに参画していただく想定です。
ヒアリングと報告を積み上げながら、アジャイルにお客様が実現したいプロダクトをつくり上げます。

▍技術要素
LangChain、LangGraph、Azure、GCP、AWS、PyTorch、Keras
▍使用ツール
ChatGPT、Cursor、Dify、Slack、Notion、Github

■得られる経験 / スキル■
・AIエンジニアリング（特に生成AI、RAG）
・顧客課題解決のための提案力
・プロジェクトを遂行する力

■この仕事で得られるやりがい■
ダイレクトにお客様に提案し、実現したいものを開発していくので、感謝の言葉をかけられることが多いです。また、開発で得たノウハウ・知見を社内でシェアすることで、周りから認められ、自身の「居場所」をつくっていくこともできます。

■今後の活躍の場■
優秀かつ当社にマッチする方であれば社員となり、一緒に会社をつくる仲間になってほしいと思います。

■求める人物像■
・自身のなりたい姿を明確にイメージできる方
・円滑なコミュニケーションが取れる方
・自ら考えて提案し、実行に移せる方
・成長意欲の高い方

▍必要条件
・生成AI関連のプロジェクトでの開発経験

▍歓迎条件
・AI関連のプロジェクトをリード・マネジメントした経験
・生成AIシステムのアーキテクトの経験

私たちの事業に興味を持っていただけたなら、まずはお話してみませんか？
「話を聞きに行きたい」ボタンからのエントリーをお待ちしています！",https://www.wantedly.com/projects/2145489,"['AIエンジニア', '副業', '週末からのコミットでもOK', 'オンライン面談OK']",10人がエントリー,2025-08-03T19:33:23.578008
フルリモOK！松尾研×京大発急成長AIスタートアップでエンジニア採用強化中,株式会社エムニ,,"◼️ミッション

AI技術を駆使して、社会やビジネスに新たな価値を創出し、チームで成長することがミッションです。技術の最前線で挑戦し、0→1の開発をリードしていただきます。

◼️仕事のやりがい

AIエンジニアとして、ゼロから価値を創出する挑戦ができます。長く日本経済を支えてきた製造業界において、「技術が事業を動かす」現場で、幅広いスキルと経験が身につきます。チームで生み出した成果が社会に届く達成感を得られる仕事です。

◼️業務内容

- 自社AIプロダクトの設計・構築・精度改善・運用
- ニーズに応じたAIアルゴリズムの選定・最適化・チューニング
- クライアント向けAIソリューションの技術検証（PoC）の推進
- 学会論文・最新技術情報の調査、技術トレンドのキャッチアップと応用
- モデルの精度向上・推論速度改善のための実験・検証・実装

スキルや希望に応じて、社内外連携及びチームメンバーへの技術指導・コードレビュー等

◼️必須条件

- （業務委託の場合）週12時間以上の稼働
- Pythonを用いたAI/機械学習モデルの開発経験（実務経験不問）
- 機械学習・統計・数学に関する基礎知識
- Git/GitHubを利用した経験
- ソフトウェアエンジニアリングの基本的な知識
- 日本語での円滑なコミュニケーション能力

◼️歓迎条件

- （業務委託の場合）週20時間以上の稼働
- AI/機械学習モデルの構築・精度改善・運用経験
- AI/機械学習に関する研究経験
- Pythonを用いたAI/機械学習モデルの実務経験
- クラウド環境（AWS/Google Cloud/Azure等）の構築・運用経験
- Webアプリケーション（NextJS/FastAPI等）の開発・運用経験

◼️開発環境

- 言語：Python、TypeScript
- フレームワーク：React、Next.js、PyTorch、Streamlit、FastAPI
- クラウド：Azure、AWS、Google Cloud
- データベース：MySQL、PostgreSQL
- コード管理：GitHub
- コミュニケーションツール：Slack、Notion
- その他：cursor、ChatGPT、Figma",https://www.wantedly.com/projects/2152556,"['NEW', 'エンジニア/副業可/転職可', '副業', '学生さんも歓迎', 'オンライン面談OK']",12人がエントリー,2025-08-03T19:33:23.634366
働き方自由｜2.6万ユーザーを支える大型CMSを共に届けるコーダー募集中,株式会社アントアント,,"「コーダーとしての実績を積みたい」
「大型のプロジェクトに関わりたいけど、このままだと...」
「コーダーを募集しているところないかなぁ」

こんな想いを持っているアナタへ。
自社開発CMS「ant2」のコーダーに興味はありませんか？

現在2.6万ユーザー以上いるCMSでより良いサービスのために
デザインテンプレートを提供しています。
そのテンプレートを実用化してユーザーに届けるコーダーを探しています！！

場所と時間にも縛られずに大型プロジェクトに関わることで
コーダーとしての価値も腕も上がること間違いなし！！

【自社プロダクト「ant2」とは】

「ant2」とは自由自在に思いのままのホームページを作ることができるCMSです！

パソコンがあまり得意ではない人でも、今どきのHPを作りたい人でも
自由自在に思いのままのホームページを作れるCMSを提供したいという想いで開発し、

・『初心者にも優しい操作性』
・『ユーザーの要望に応え続けるアップデート』
で好評をいただき、現在では、ユーザー数は26,000人以上にのぼります！

アナタのコーディングスキルを活かして
ホームページ作成をより自由にすることは、
市場価値を上げる実績になること間違いなし！

【あなたにお任せしたいこと】

定期的にリリースするデザインテンプレートのコーディングをしていただきたい。

仕事後の家、お昼に近所のスタバ、
いつどこで、行うかは自由。
ご希望の方には数か月分（3ヶ月程度）の制作をまとめてのご依頼も可能です。

逆に、制作のお時間がまとめて取れる場合は、
3ヶ月分の制作を1ヶ月で納品いただくことも可能です。

必要な素材やテキストがレイアウトされたサイトは全てこちらで制作してお渡しいたします。
後は仕様とデザイナー様が作成されたデザインを確認の上で、
デザインを調整していく形でコーディングを行っていただきます。

テンプレートになりますのでデザインの再現を忠実に行っていただくより、
どんなレイアウト、どんなページ構成でも崩れない、
柔軟なコーディングを行っていただける方を希望します。

●必要スキル
・HTML
・CSS
・SCSS
・Javascript（jQuery）
・弊社CMSの仕様理解
　※最初に練習用のサイトなどもお渡しいたしますので、
　　慣れてから実際のコーディングを行っていただくことも可能です。

●使用ソフト
・XD
※デザインデータは基本XDでのお渡しになりますが、Figmaになる可能性もございます。
※コーディングを行っていただくソフトは問いません。

少しでも興味がある方は、「話を聞きたい」をタップ！
応募お待ちしております。",https://www.wantedly.com/projects/1346340,"['コーダー｜業務委託｜リモート', '副業', 'オンライン面談OK']",33人がエントリー,2025-08-03T19:33:23.678444
急成長ベンチャー企業のCTO候補募集！HR領域で勝てるサービスを作る！,株式会社ミギナナメウエ,,"株式会社ミギナナメウエは、採用支援事業を主軸に、人材領域で6期連続200%成長を達成している急成長ベンチャー企業です。現在、RPO業務の自動化、スカウトのデータ分析、適性検査やウェルビーイングサーベイなどのプロダクト開発に取り組むため、初めてのエンジニアを募集しています。このポジションは、CTO候補として技術戦略をリードしていただきます。

【仕事内容】
RPO業務をAIエージェントで自動化するプロダクトの設計・開発
スカウトデータの分析・最適化を支援するツールの構築
技術選定、プロダクトの開発ロードマップ作成、プロジェクト管理
将来的にエンジニアチームのリードや採用

【求める役割】
弊社のプロダクト開発をゼロからリードし、技術面での意思決定を担う
AI、データ分析技術を駆使して、採用課題を解決する革新的なサービスを提供
事業戦略に基づき、技術的な視点から会社の成長に貢献
【求めるスキル・経験】
必須スキル：
・Webアプリケーション開発の実務経験
・AI、機械学習、データ分析の知識または経験
・クラウド環境（AWS、GCPなど）の利用経験
・チームをリードし、プロジェクトを推進した経験

歓迎スキル：
・人材業界や採用支援サービスに関わるプロダクト開発経験
・CTO、またはそれに近い役割でのマネジメント経験
・スタートアップでの技術戦略策定・実行経験

【ポジションのメリット】
・初のエンジニアとして、技術面の全権を握り、裁量の大きな環境で働ける
・RPO業務の自動化やデータ分析、AI技術を活用したプロダクト開発に最前線で関わることができる
・高成長を続けるベンチャー企業で、事業拡大のコアメンバーとしてキャリアを築ける
・将来的にエンジニアチームを組織し、CTOとしてのキャリアパスが開けている

興味ある方はぜひお話ししましょう！",https://www.wantedly.com/projects/1859570,"['フルスタックエンジニア', '副業', 'オンライン面談OK']",11人がエントリー,2025-08-03T19:33:23.699833
自分の実力を様々な環境で試したい！エンジニア募集！,Vision Base株式会社,,"フルリモートで副業されたい方を募集しています。
WEB開発の案件が基本ですが、対象案件は複数あり、これまでのご経験や希望を考慮してPJを決定します。
0.2～0.9人月迄幅広く募集しています。ご興味ある方はまず面談でお話ししましょう！",https://www.wantedly.com/projects/2140804,"['Webエンジニア', '副業', 'オンライン面談OK']",24人がエントリー,2025-08-03T19:33:23.728439
次のステージはオールスタック×AI！経験者が技術横断で挑戦できる現場,タビアン株式会社,,"スタートアップの核を支えるWebエンジニア募集！
「0→1」フェーズでの設計・開発を通じて、あなたの経験をさらに広げてみませんか？

■募集背景
タビアンは、スタートアップや中小企業の新規事業に対して、企画・要件定義の段階からエンジニアリングで伴走する開発会社です。
「新規事業の核」となるシステムを強力に支えるために、これまでに培ったWeb開発経験を活かして、0→1フェーズを形にできるエンジニアを増員募集します。

私たちが目指しているのは、顧客と一緒に事業を作り上げること。
既存の要件定義だけでなく、企画や仮説検証から入り込むのがタビアン流のエンジニアリングです。
「新規事業をゼロから動かす喜び」を、ぜひエンジニアとして一緒に味わってみませんか？

■業務内容
一例です、ご経験やスキルに応じて対応いただく業務は相談させていただきます。

◆ Webシステム開発の設計〜開発
プロジェクトチームの一員として、TypeScriptやGraphQLなどを使ったWeb開発を担当していただきます。
フロントエンド（SPA）を軸に、適性や希望に応じてサーバサイド・インフラ領域へもステップアップ可能です。
要件定義や企画段階からお客様と連携し、プロダクトが本当に必要とされる形を追求します。

◆ スキルやキャリアに応じた業務領域
経験豊富な方には、顧客折衝・プロダクト企画のサポート、チームリードなどもお任せします。
希望があれば、営業活動や役員との戦略会議など、エンジニアの枠を超えた多様な業務にも挑戦可能です。
「自分の技術でサービスを伸ばしたい」「既存の枠を超えて事業成長にコミットしたい」という方には、大きな手応えを感じられる環境です。

■開発の特徴
1．ソースコードを書く“だけ”がミッションではありません
タビアンのエンジニアは「プロダクト作りの専門家」です。
利益を上げ、ユーザーに愛されるサービスに育てるため、企画段階から関わります。

2．企画・構想〜リリースまで小スプリントで進行
数カ月ごとにMVPを作り上げ、スピーディーに仮説を検証→改善→追加開発。
スタートアップの成長リズムに合わせた柔軟なアプローチが得意です。

■技術スタック・環境
課題管理: Jira
ソースコード管理: BitBucket, GitHub
言語: TypeScript, SCSS, GraphQL
フレームワーク: AWS Amplify, Vue.js, Nuxt.js, React, Next.js, Vuetify, OpenCV
インフラ: AWS (Amplify + CDK)
コミュニケーション: Slack, Google Meet
デザイン共有: Figma, Miro
ファイル共有: Google Drive
エディタ: VSCode

フロントエンド中心で開発しつつ、GraphQLやサーバレス構成を組み合わせるのがタビアンの特徴。
経験者の方は、モダンな環境をフル活用し、さらにスキルの幅を広げることができます。

■エンジニア組織とカルチャー
・20〜30代中心のメンバー計9名が開発を推進中
　・経験豊富なメンバーには、プロジェクト全体の技術判断やチームリードを期待
・フロント／サーバーサイドの境目がなく、メンバー全員がプロダクト全体に関わるスタイル
・業務委託・インターン・副業など、多様な働き方が混在しており、オープンマインドな雰囲気
・リモート＋週1〜3回の出社を組み合わせ、チームでのコミュニケーションを重視
　　・毎日の夕礼・チャットでこまめに進捗を共有し、リモートでも素早く相談できる環境

■こんな方におすすめ
・ある程度Web開発経験を積み、次のステージを求めている
・モダンフロントエンド（TypeScript, React/Vue等）の経験を活かして、新規事業にチャレンジしたい・
顧客折衝や企画段階から携わり、事業成長をエンジニアリングで支えたい
・スタートアップのスピード感を楽しみながら、ユーザーの反応をダイレクトに感じて開発したい
・副業・業務委託やフレキシブルな働き方にも興味がある
・「技術を活かして、新しいプロダクトをゼロから形にしたい」

そんな意欲あるエンジニアの方はぜひご応募ください。
あなたの経験を活かしながら、タビアンと一緒に「0→1フェーズの専門家」としてさらなる飛躍を目指しましょう。",https://www.wantedly.com/projects/2149813,"['NEW', 'シニアWEBエンジニア', '副業', 'オンライン面談OK']",11人がエントリー,2025-08-03T19:33:23.746485
AI×SaaS開発に携わりたいWebアプリケーションエンジニア募集！,株式会社プロパゲート,,"【開発環境】
・Google Cloud Platform
・HTML5, CSS3, JavaScript,Python, Java

【必須要件】
・Google Cloud Platformの各サービス
（BigQuery, Cloud Functions, App Engine, Dialogflow）の利用経験

【歓迎要件】
・Webアプリケーション開発経験
　Lサーバーへのデプロイ経験
　Lアプリケーションのスケーラビリティへの理解

・フロントエンド開発経験
　LHTML5、CSS3、JavaScriptでの開発経験
　Lレスポンシブデザインの実装経験

・バックエンド開発経験
　LPython、Javaでの開発経験
　LAPI設計・開発経験

・セキュリティ対策の知識

・SQLを用いたデータ抽出・分析経験

・Google Analyticsの基礎知識

【求める人材】
・コミュニケーション能力
　Lチームメンバーとの円滑なコミュニケーション
　L問題や進捗状況を明確に伝えられる

・責任感
　L自分の担当業務に責任を持ち、最後までやり遂げる
　L高い品質基準を意識し、妥協のない仕事をする

スタートアップ企業ならではのスピード感を感じつつ、エンジニアとして力を発揮できるフィールドをご用意しております。",https://www.wantedly.com/projects/1608511,"['Webアプリエンジニア', '副業', 'オンライン面談OK']",94人がエントリー,2025-08-03T19:33:23.763033
AWS｜オンライン出社！インフラ設計・構築・運用保守などをお任せします。,株式会社WorldHacks,,"弊社では、エンジニアが働きやすい仕組みづくりを行なっています。
あなたの、頑張りがきちんと報われるので、高いモチベーションを保ち、働ける環境をご用意しています。

▍募集ポジションについて
今回は「インフラエンジニア」を募集しています。

▍業務内容について
・AWSインフラ基盤の設計・構築
インフラエンジニアとして、サーバ、ネットワーク、ミドルウェアに関する設計・構築・運用保守など多岐にわたる業務に携わっていただきます。

▍開発環境について
サーバーサイド：Laravel(PHP)、Ruby on Rails(Ruby)、Node.js(TypeScript)
フロントエンド：React(TypeScirpt)、Next.js(TypeScirpt)、Vue.js(TypeScirpt)、Nuxt.js(TypeScript)
アプリ：Flutter
インフラ：AWS、GCP
ツール：Slack、GitHub、Notion、oVice、Figma

▍チーム体制について
・2〜10名
主にアジャイル開発で行なっています。

▍働き方について
・フルリモートでの開発
日本全国どこででもご勤務いただけます。
オンラインワークスペースを導入しているため、すぐに質問し合える環境で社内コミュニケーションも良好です。ご希望の方は定期的にオフライン出勤も可能です。
※今回の募集は、フルタイムでの勤務を想定しております。

▍必須経験・スキルについて
・AWS／GCPなどでのインフラ構築、運用経験がある方
・Dockerなどのコンテナに関する経験
・ネットワークやセキュリティなど、インフラを構成する基礎的な知識

▍歓迎スキル・経験
・CI/CDツール（GitHub Actions等）に関する知見
・バックエンド開発経験

▍開発実績例について
・マッチングサービスの開発
・求人メディアサービスの開発
・ECサイト開発　等

▍今後のキャリアについて
弊社は、まだまだ伸び盛りのベンチャー企業です。
エンジニアとして、さらに技術を磨いていくことが可能です。
また、PM・PLとして、上流工程やチームリーダー業務・マネジメント業務などのキャリアアップが可能です。
将来は、会社の柱になる幹部候補や経営ポジションも目指すことができますので、どんどんご自身のキャリアを磨いていってください！

少しでも興味を持っていただけましたら、まずはお話してみませんか？
是非お気軽に「話を聞きにいきたい」ボタンからのエントリーをお待ちしています！",https://www.wantedly.com/projects/1590255,"['インフラエンジニア｜経験者歓迎', '副業', 'オンライン面談OK']",89人がエントリー,2025-08-03T19:33:23.777389
自社プロダクト/クライアント先プロダクトの開発を推進したいエンジニア募集！,株式会社SaaTsu,,"◯職種
Webエンジニア（フロントエンド／バックエンド）※フルスタック歓迎

◯仕事内容
上場企業、中小企業やスタートアップ企業の業務課題を、WebアプリケーションやAIワークフローで解決する開発プロジェクトを多数手がけています。ご経験や志向に応じて、以下いずれか、または複数の領域を担当していただきます。

＜フロントエンド開発＞
・Next.js（React）によるSPA／管理画面の設計・実装
・UI/UX改善、新機能の実装
・Firebase、Supabaseなどとの連携開発
・コンポーネント設計、状態管理、フォーム設計 など

＜バックエンド開発＞
・Node.js（TypeScript）を中心としたAPI設計・開発
・Firebase FunctionsやSupabase Edge Functionsの活用
・外部サービス（OpenAI API、GASなど）との連携
・DB設計、認証機能の実装
※Difyやn8nなどのAI・ノーコードツールを組み合わせた開発にも関わる機会があります。

◯使用技術・開発環境
・言語・FW：TypeScript、PHP、Java、Node.js、Ruby、React、Vue、Spring Boot、Laravel など
・インフラ：Firebase、Supabase、AWS、GCP、Azure
・その他：Dify、n8n、GitHub、Slack、Notion

◯働き方
・フルリモートOK（必要に応じて出社可）
・稼働時間：Min40〜Max160時間程度（柔軟に応相談）
・稼働時間帯：平日日中を中心に、一部夕方や土日も相談可能
・学生・未経験歓迎（実務経験不問／ポートフォリオ評価あり）

◯必須要件（いずれか該当でOK）
・フロントエンド開発経験（TypeScript/React/Next.js/Vueなど）
・バックエンド開発経験（Node.js / Firebase / Supabase/PHP/Laravel/Java/Spring/Rubyなど）
・GitHub等でのチーム開発経験
・オープンマインドで学習・対話ができる方

◯歓迎要件
・フルスタック開発経験
・UI/UXに関心がある方
・AI APIやノーコードツール活用への興味
・toB向けWebサービスやSaaS開発経験

◯開発事例（一部紹介）
■ 中小企業向け業務改善アプリケーション開発
全国展開するBtoB企業に向け、帳票・承認フロー・進捗管理を一括で可視化するWebツールを企画〜開発。ノーコードでは難しい細かい仕様に、TypeScript＋Firebaseベースで柔軟に対応しました。

■ Dify・n8n を活用したAIワークフロー構築
ChatGPT APIを活用したメール自動化・レポート生成・問い合わせ対応など、業務効率化を推進。n8n×外部API×独自UIの開発など、モダン技術と業務改善をつなぐプロジェクトに挑戦中です。

◯応募を検討中の方へ
「フロントかバックか迷っている」「技術力にまだ自信がない」「ポートフォリオを見てほしい」そんな方も大歓迎です！まずはお気軽にカジュアル面談でお話しましょう。あなたの強みを活かせるプロジェクトをご提案します。",https://www.wantedly.com/projects/2133503,"['開発エンジニア/フルリモート', '副業', 'オンライン面談OK']",19人がエントリー,2025-08-03T19:33:23.792744
事業開発の経験者歓迎！新規事業立ち上げのフルスタックエンジニアを募集,Priv Tech株式会社,,"Priv Techでは、これまでプライバシー領域の事業をメインに行ってきましたが、
今後、新たに生成AI領域への事業参入を考えています。

そこで、生成AIを活用した新しいプロダクト開発に
アイデア出しの段階から開発まで携わってくださる方を募集します。
0→1の新規事業作りに携わりたい方、
将来は起業を考えている方、などからのご応募をお待ちしております！

Priv Techは、近年注目されているプライバシー業界の最先端をいく会社です。
また、弊社のメンバーは全国及び世界各地から参画しており、どこから勤務するかは自由です。
「No Rules」かつ「ティール型」の組織で完全実力主義、
代表直下で裁量権を持って働くことができるため、ぜひうまく活用し、あなたのキャリアとして積み上げていただければと思います。

働き方（時間、場所、業務領域など）はあなたのやりたいことや、働きたいスタイルに合わせて相談可能です。
ぜひお気軽にご応募ください！

まずは、カジュアル面談にてなぜあなたがPriv Techに興味を持ったのか、これから先何をしたいと思っているのかなどをお聞かせください！

【Priv Techで働いているメンバーの生の声はこちら！】
●生粋の法律オタクがPrivacy Techスタートアップに入社するまで
　https://www.wantedly.com/companies/company_7904064/post_articles/432511
●子煩悩パパが語る「仕事も家庭も充実する、スタートアップの働き方」
　https://www.wantedly.com/companies/company_7904064/post_articles/413632
●主婦×フルリモートスタートアップ！Priv Techだからこそ実現する働きやすさとは？
　https://www.wantedly.com/companies/company_7904064/post_articles/494228
●リオのカーニバルに出場！？海外事業責任者のこれまでと、これからのビジョン
　https://www.wantedly.com/companies/company_7904064/post_articles/506449
●もう一度営業職としてのキャリアを積みたい！プライベートも仕事も諦めない働き方とは？
　https://www.wantedly.com/companies/company_7904064/post_articles/511219
────

【こんな人を求めています】
〇何事にも迅速に対応できる
〇考えることが好き
〇既成の価値にとらわれない、新たな戦略立案が可能
〇将来企業や独立を考えている

【業務内容】
新規プロダクトリリースを目指し、以下を行っていただきます！
▼生成AIを活用した新規プロダクトのアイデア出し／ディスカッション
▼PoCを含めたMVP開発　など
 
ぜひプロフィール欄を充実させて、ご応募ください！",https://www.wantedly.com/projects/2019951,"['フルリモート・副業OK', '副業', '週末からのコミットでもOK', '言語を活かした仕事']",19人がエントリー,2025-08-03T19:33:23.814682
