title,company,location,description,url,tags,entry_count,scraped_at
お客さまの想いを形にする！提案力を活かしたいWebコーダーを募集！,シロ株式会社,,"■募集内容■
Webコーダーを募集します。大手メーカーさんの自社サイト運用などを担当いただく予定です。デザインにこだわる代理店との連携もあるため、提案力のある方を求めています。

■このポジションの魅力■
柔軟な対話ができるお客さまに恵まれており、建設的に業務を進められる環境です。またメンバー10名以下の組織では経験できないような、大規模な案件に携わる機会が多く、社会に大きな影響を与える経験ができます。

■求める人物像■
・能動的に行動できる方
・自ら提案をして制作物の価値を高めたい方

▍必須条件
・Webコーダーとしての実務経験3年以上
・JavaScriptを用いた開発経験（GSAP使用経験あれば理想）
・HTML/CSSを使用したWebサイト制作経験

■技術要素&amp;開発環境■
フロントエンド:HTML/CSS/JavaScript（ES6）/React/Vue.js/Next.js/Nuxt.js/
開発環境:webpack/Babel/npm/Yarn
リポジトリ:GitHub
コミュニケーション:Slack
タスク管理:Asana,Notion

これからどんなことをしてみたいか、まずはお話してみませんか？
是非お気軽に「話を聞きに行きたい」ボタンよりエントリーしてください。",https://www.wantedly.com/projects/2010494,"['Webコーダー', 'フリーランス', 'オンライン面談OK']",34人がエントリー,2025-08-03T20:53:00.550968
個性溢れるメンバーと一緒に成長したいフロントエンドエンジニア募集！,株式会社HYPER CUBE,,"【募集背景】
HYPER CUBEは「AI・データ分析・医療」の研究開発をする会社と「広告・WEB・プロモーション」のプロ集団が集まる会社が合体して生まれました。
そのためのプロモーションサイトやブランディングサイトの制作から、高齢者向けAIチャットボットやChatGPTを利用したコピージェネレーターの開発など、幅広いプロジェクトが社内に存在します。

今回は、そんな当社の自社サービスやクライアント様の様々なWebサービスやWebサイトを仕上げるWebフロントエンドエンジニアを募集します。
スキルや経験・ご希望にもよりますが、まずは当社の開発環境に慣れてもらいつつ、ゆくゆくはWebフロント開発チームのリードして活躍していただけたらと考えています。

【働く環境】
所属するエンジニアチームは現在7名、年齢は20代が多いメンバー構成です。
また社員には介護や子育てと両立して働くメンバーや、外国籍のメンバーも居り、個性を生かしつつ皆で補い合いながらわりと自由に働いています。
現在はコミュニケーションや文化促進のため月・木の週2回を出社日としていますが、それ以外はリモートで自宅での作業も可能です。
自分らしい働き方でステップアップしたい！という方にはピッタリだと思います！

【業務内容】
■Webサイト・Webサービスの構築
■Webフロントエンド領域の技術選定・リード

プロジェクトの例はこちらからご覧になれます↓
https://www.wantedly.com/portfolio/companies/company_7652557

【必須スキル/経験】
■Next.js・Reactなどのフロントエンドフレームワークを利用した開発経験（2年以上）

【歓迎スキル/経験】
■Git を使用したチーム開発経験
■コードレビューをする/される環境での開発経験
■Webフロントエンドのリードエンジニアの実務経験
■外部含む、関係者との要件や仕様調整の経験
■HTML, CSS, JavaScriptの理解
■WordPress等のCMS構築の経験

【開発環境】
■開発言語：JavaScript / TypeScript 
■フレームワーク：React / Next.js
■インフラ： AWS
■バージョン管理：GitHub
■コミュニケーション：Slack
■タスク管理：Jira
■その他ツール：Docker / GitHub Copilot 

【当社に合いそうな人柄】
■当社ビジョン「遊びが予防になる社会をつくる」になんとなくでも「いいな」と思っていただける方
■成長意欲を持っている方
■仕事でも遊び心や子ども心を大事にしたい方
■コミュニケーションを大切にする方
■相手の気持ちを考えられる方
■意見があれば積極的に伝えられる方",https://www.wantedly.com/projects/1997846,"['フロントエンドエンジニア', 'フリーランス', 'オンライン面談OK']",23人がエントリー,2025-08-03T20:53:00.578111
大手toCサービスフロントエンド開発/#React#Typescript,株式会社デジタルブロックス,,"【フルリモート×長期案件】React/Next.js × TypeScript

💻概要
給与支払いアプリのフロントエンド開発
急成長中のBtoC向けフィンテックサービスに携わるチャンス！
給与支払いに特化したアプリのフロントエンド開発をお任せします。
設計〜テストまで一貫して関われる、やりがいあるポジションです。

🔧 業務内容
・フロントエンドの設計・開発・テスト
・プロダクトチームや他チームとの連携
・コードレビューや自動テスト実装　など

📅 期間
随時〜長期予定

🌍 勤務形態
フルリモートOK（地方在住も歓迎！）
※初日のみ、東京駅直結ビルへ出社していただき、環境構築していただきます。

⏰出勤時間：10：00～19：00

✅ 求められるスキル
・自発的に動ける方／チームと円滑に連携できる方
・基本設計以降のご経験
・React（関数コンポーネント）、Next.js、TypeScriptでの開発経験
・自動テストの実装経験
・レビュー対応・レビュワー経験

📹 面談
オンラインでの実施可能

📝備考
ご自身のやる気次第で、様々な分野にチャレンジできる環境です。
希望があれば、バックエンドにもチャレンジできます。
新しい技術を積極的に取り入れるチームです。",https://www.wantedly.com/projects/2062214,"['システムエンジニア', 'フリーランス', 'オンライン面談OK']",21人がエントリー,2025-08-03T20:53:00.601231
AIエンジニア｜急成長中の東大松尾研発AIスタートアップで開発に携われます,株式会社QuackShift,,"■お任せしたい仕事
- LLM/ AI技術を用いたwebシステムの開発
- クラウド環境（AWS/Azure/GCP）を用いたLLM・機械学習モデルのデプロイメントおよび運用最適化
- 機械学習モデルの開発、評価、改善
- データパイプラインの設計・構築

■ 必須条件/経験
- 開発実務経験（2年以上）
※開発言語は問いません。ご経験に合わせて業務を担当していただきます。

■ 開発言語/ フレームワーク
フロントエンド：TypeScript（Next.js / React）
バックエンド：Python（FastAPI, Flask）
フロントエンド：TypeScript
クラウドサービス（AWSの場合）：EC2/ Lambda/ DynamoDB/ RDS/ S3/ Cognito/ API Gateway/ SQS/ EventBridge/ ECR/ ECS/ Cloudfront

■ 利用ツール
- コミュニケーション：Slack/ Gather
- タスク管理：Notion
- ドキュメント管理：Notion/ Google Drive/Googleスライドなど
- ソースコード管理：GitHub
- 開発クラウド：AWS/GCP/Azure

■ 勤務地
リモート可（※ 御茶ノ水オフィスとのハイブリット勤務を推奨）",https://www.wantedly.com/projects/2063343,"['AIエンジニア', 'フリーランス', 'オンライン面談OK']",18人がエントリー,2025-08-03T20:53:00.625841
"Next,React｜自分らしく働き成長したい方！当社で実現しませんか？",株式会社WorldHacks,,"当社はエンジニアが働きやすい環境づくりに力を入れています。
モダンな技術×自律的に働ける環境で、メンバーと高め合い成長しながら働きませんか？

▍募集ポジションについて
受託開発の「フロントエンドエンジニア」を募集しています。

▍業務内容について
・基本設計、開発、テスト
新規機能開発および既存機能の修正をメインにご担当いただきます。
実務未経験でも問題ございません。モダンな言語で、初期開発フェーズからグロースフェーズまで幅広く携わっていただこうと考えております。

▍開発環境について
開発言語：TypeScript  /  JavaScript  /  HTML5+CSS3  /  HTML+CSS
フレームワーク：React  /  Vue.js  /  Next.js  /  Nuxt.js
インフラ：AWS  /  GCP
ツール：Slack  /  GitHub  /  G Suite  /  Notion  /  oVice 

▍チーム体制について
・2〜10名
主にアジャイル開発で行なっています。

▍働き方について
・フルリモートでの開発
日本全国どこででもご勤務いただけます。
オンラインワークスペースを導入しているため、すぐに質問し合える環境で社内コミュニケーションも良好です。ご希望の方は定期的にオフライン出勤も可能です。
※今回の募集は、フルタイムでの勤務を想定しております。

▍必須経験・スキルについて
・Web開発（フロントエンドエンジニア）の実務経験が1年以上ある方
・JavaScript  /  TypeScriptの実務経験がある方
・Next.js  /  React.js  のいずれかの実務経験がある方

▍開発実績例について
・マッチングサービスの開発
・求人メディアサービスの開発
・ECサイト開発　等

▍今後のキャリアについて
弊社は、まだまだ伸び盛りのベンチャー企業です。
エンジニアとして、さらに技術を磨いていくことが可能です。
また、PM・PLとして、上流工程やチームリーダー業務・マネジメント業務などのキャリアアップが可能です。
将来は、会社の柱になる幹部候補や経営ポジションも目指すことができますので、どんどんご自身のキャリアを磨いていってください！

少しでも興味を持っていただけましたら、まずはお話してみませんか？
是非お気軽に「話を聞きにいきたい」ボタンからのエントリーをお待ちしています！",https://www.wantedly.com/projects/2032685,"['フロントエンド│フルリモート', 'フリーランス', 'オンライン面談OK']",28人がエントリー,2025-08-03T20:53:00.716875
分散化で未来を創る。新たな社会基盤を作るフルスタックエンジニア募集！,TANE LABS FZCO,,"◆最先端技術でパラダイムシフトを起こす！
 ── AI/LLMを活用した自社プロダクトの設計・開発・運用で、Cryptoエコシステムの未来を創造

◆世界中のブロックチェーンインフラを支える！ 
── Ethereum、Solana、Cosmosなど複数チェーンのバリデータノード運用 ── テストネットからメインネットまで、セットアップ、監視、障害対応、パフォーマンスチューニングを担当

◆グローバルチームで挑戦！ 
── ドバイ、ニューヨーク、東京の3拠点体制で、英語を使った国際的な環境

＼1つでも当てはまれば大歓迎／ 
◎ ブロックチェーン技術が拓く未来に強い関心を持っている方 
◎ 新しい技術領域に強い好奇心を持ち、積極的に学び挑戦したい方 
◎ 創業メンバーとしてオーナーシップを持って働きたい方 
◎ 本質的（first principles）な思考で課題解決に取り組める方

＼経験豊富なエンジニア歓迎！こんなスキルをお持ちの方／ 
★ 必須スキル 
・Webアプリケーション開発経験3年以上（Python or TypeScript/Node.js） 
・DevOps、インフラエンジニア経験3年以上（AWS, GCP, Azure等） 
・ビジネスレベルの英語力（英語でのテキストコミュニケーション、仕様書読解）

★ あると嬉しいスキル 
・ブロックチェーンノード運用経験（Ethereum、Solana、Cosmos等） 
・分散型システムの知識・実務経験 
・Terraform、Ansible、Docker、Kubernetesの使用経験 
・WebサービスやAPIのパフォーマンス改善経験",https://www.wantedly.com/projects/2101325,"['インフラエンジニア', 'フリーランス', '言語を活かした仕事', 'オンライン面談OK']",26人がエントリー,2025-08-03T20:53:00.768514
つくり方”から一緒に考える。柔軟に関わるエンジニア募集,株式会社BIDHIT,,"◾️募集背景
BIDHITでは、業務委託でご一緒いただけるエンジニアを募集しています。
 契約形態に関係なく、プロダクトの立ち上げ期に技術から深く関わってくださる方を歓迎しています。
フルリモートOK・稼働時間柔軟・Slack中心のコミュニケーションで、自分のペースに合わせた働き方が可能です。

◾️業務内容
現在、BIDHITでは「競売不動産プラットフォーム」と「AIで重要事項説明書を自動生成するSaaS」の2つのプロダクトを開発しています。
いずれも立ち上げフェーズにあり、技術面から支えてくださる開発パートナー（業務委託）を求めています。
以下のような業務に関わっていただきます。

・自社プロダクト「BIDHIT」における機能開発・技術設計・保守運用
・スケーラビリティを考慮した技術選定や実装アーキテクチャの提案・実装支援
・ご経験・稼働に応じて、AIを活用した新規プロダクトの設計やPoCフェーズにも参画可能

技術戦略全体を牽引いただくポジションではなく、仕様・要件を共有の上での柔軟な開発協力を想定しています。
立ち上げフェーズゆえ、開発体制そのものへのフィードバック・改善提案も大歓迎です。

◾️応募要件
【必須スキル・経験】
・自社SaaSプロダクトの開発経験（5年〜）
・バックエンド開発またはフロントエンド開発の経験

【歓迎スキル】
・法務・不動産など専門領域の業務知識に関心のある方
・フルスタック開発の経験

【技術要件】
・バックエンド: Rust / axum / Firestore / GraphQL
・フロントエンド: Typescript / Next.js / GraphQL
・AI 関連: Python or Rust
・共通: Docker / GoogleCloud または他のクラウド

◾️雇用形態・待遇
業務委託
フルリモート可

契約形態にとらわれず、“チームの一員として価値を届けてくれる人”を探しています。
開発フェーズも、技術スタックも、まだまだ余白だらけ。だからこそ、あなたの技術がそのままプロダクトを動かします。
まずはカジュアルに、これまでのご経験や今後の働き方について、お話ししませんか？",https://www.wantedly.com/projects/2142132,"['業務委託エンジニア', 'フリーランス', 'オンライン面談OK']",14人がエントリー,2025-08-03T20:53:00.790593
フリーランス歓迎｜幅広い開発業務を牽引！若手育成にも携わるwebエンジニア,Ms.Engineer株式会社,,"▼業務内容
社内プロダクト及び、社外案件の開発業務をリード、また若手エンジニアの育成・OJTをお任せいたします。

▼必須要件
・Webアプリケーション開発業務の経験: 3年以上
・Next.js, TypeScript での開発経験: 2年以上
・サーバーサイド機能の開発経験(言語不問): 2年以上
・パブリッククラウドを用いたアプリケーションの開発経験
・クライアント及び非エンジニア職のメンバーと対話して業務を進められること
・経営層の意思決定に追随して柔軟に業務を遂行できること

▼歓迎要件
・FastAPI,Python を用いた開発経験
・Go言語を用いたツールの開発経験
・GCP でのインフラ構築経験
・CI/CDパイプラインの構築経験
・機械学習に関する基礎的な理解(統計的手法を含む)
・プロトタイプ駆動の開発経験
・アジャイル/ウォーターフォール両方の開発経験
・OJTなどで若手を育成した経験

▼本ポジションの雇用形態/コミット
・雇用形態：業務委託
・コミット：週3日(週24時間)×リモート(案件によってはお客様先で開発チームの立ち上げ支援)",https://www.wantedly.com/projects/2142884,"['フリーランス｜リモートOK', 'フリーランス', 'オンライン面談OK']",21人がエントリー,2025-08-03T20:53:00.811773
食品メーカーのフロントエンドエンジニアを募集！,株式会社　門崎,,"【情報発信の要を担い、時代に沿ったサービス展開を拡大し続ける】

急成長中の食品事業のフロントエンドエンジニアを募集しています。
お任せするのは自社サイトやモール、飲食店を中心としたwebサイトにまつわる業務全般をイメージしております。
社長直轄のプロジェクトも多く、定型業務を持ちながらも、柔軟に新しいことにチャレンジすることが好きな人を求めています。

&lt;業務内容&gt;
・LPコーディング
・ワードプレスの開発
・フューチャーショップのページ制作
・ECサイトのマーケティング/それに伴う業務全般
等の業務を想定しております！

■Web制作全般をお任せ
当社が運営するWebサイトにより多くのユーザーを集めるためのデザインをデザイナーと共に考え、ユーザーにとって使い心地の良いサイトを作りあげていくのが主な業務です。
必要に応じて新しい企画がスピーディに続々と動きますので、柔軟な対応力が必要となります。
その分自由度が高く、裁量の大きい業務です。

■企業提携のマーケティング案件の推進
こだわりのある生産者様とのコラボレーションや、他企業とのタイアップなど、格之進のブランド力を生かした商品企画や付加価値で、新しい食の楽しみを提供しています。

■その他
ベンチャー成長企業なのでメイン業務を持ってその専門性を高めつつ、
仲間の仕事もサポートする志向性の方を求めています！
裁量は大きく、あなたの感性・スキルを活かせる環境です。
本社は社長の母校である岩手の廃校となった小学校をリノベーションしており、体育館を食品工場にするなど地域密着型で日々事業に向き合っております。
事業と組織を次のステージに上げるために、あなたの力をお貸しください。

〈必要スキル〉
・基本OSスキル(Excel、Word、PowerPoint、Google)
・LPのコーディングスキル
・HTML/CSS/Javascript/PHPを不自由なく使用できる
・WordPressを不自由なく使用できる

〈歓迎スキル〉
・ECサイトの運用/構築
・SEOの知識、実務経験
・広告運用の経験
・adobe製品の利用経験
・UI/UXデザインの経験

成長していきたい思いや熱意がある方大歓迎です！

ご興味ございましたらまずはご応募ください！",https://www.wantedly.com/projects/2143786,"['フロントエンドエンジニア', 'フリーランス', '週末からのコミットでもOK', '学生さんも歓迎']",20人がエントリー,2025-08-03T20:53:00.833440
時代を創るメンバー募集｜幸福度重視のエンジニアキャリアをここから！,シェアリ株式会社,,"未経験からエンジニアを輩出することが当社の最大の強みになります。

私たちは、会社を「単なるビジネスを行う場所」という考え方をしておりません。

1つのコミュニティであり、1つの家族であり、
そして、1つの大きなチームだと考えています。

私たちの使命は、この組織の中のすべての方が共有する、
共通するの価値観を形成することです。

私たちが信じる価値観は「共創、共感、そして共成長」です。

▍業務内容
￣￣￣￣￣￣
希望のキャリアを実現するためのステップを明確にし、
まずはエンジニアとしての基礎をじっくり身に着けていただきます。
ITスキルを身に着けていき、後々は社内の教育インターンで仮想PJTで経験を積み、　　
ご自身の向き不向きに併せてキャリアを積むことが可能です。

定期的に面談を行い、次にどのようなキャリアを歩むか本人の意向も含めて相談しながらキャリア支援します。

▍こんな方の応募をお待ちしています
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
・IT・Web業界に興味がある方
・ITエンジニアとして新たなスタートを切りたい方
・いつでもどこでも活かせるスキルを身につけたい方
・充実したサポート体制がある企業で働きたい方
・将来の選択肢を無限大に広げたい方
・ライフステージに左右されない仕事を望む方
・自分らしいスタイルで働きたい方

▍キャリアパス
￣￣￣￣￣￣￣￣￣￣
キャリアパスは多数存在しています。
PMやスペシャリストとしてのキャリアは勿論、インフラやネットワークエンジニアなどへのキャリアチェンジも可能です。
自身のやりたいことをやれる環境、経営者や管理側など1人1人の考えに合わせて育成していきます。
「生涯幸福」であればいい。というスタンスなので、60歳や70歳になった時にも通用するスキルを適宜身に着けられるようにしています。

￣￣￣￣￣￣￣￣￣￣
ここまで読んで頂きましてありがとうございました。
まずは会社についての理解が浅くても問題ありませんので、一度カジュアル面談へのご応募をお待ちしております。",https://www.wantedly.com/projects/2140938,"['未経験｜エンジニア', 'フリーランス', 'オンライン面談OK', '言語を活かした仕事']",11人がエントリー,2025-08-03T20:53:00.851883
